25 20
#############
#...........#    ########
#...s...s...######......#
#...........D...........#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#..S....k...#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #...k...#      #......#
  #.......#      #......#
  #########       ######
